"","gene"
"543","Park2"
"544","Cma2"
"545","Stag3"
"546","Chek2"
"547","Suv39h2"
"548","Nr4a3"
"549","Klhl26"
"550","Med31"
"551","Notch1"
"552","Notch2"
"553","Haus3"
"554","Pcbp4"
"555","Wdr6"
"556","Uhrf1"
"557","Adamts15"
"558","Exosc9"
"559","Npm1"
"560","Rxfp3"
"561","Boll"
"562","Mmp21"
"563","Nasp"
"564","Tnfsf14"
"565","Ing1"
"566","Nek6"
"567","Rcc1"
"568","Slc11a2"
"569","Nras"
"570","Anapc5"
"571","Cetn2"
"572","Rfwd2"
"573","Rffl"
"574","Herc4"
"575","Map2k1"
"576","Tmprss11c"
"577","AF366264"
"578","Npm2"
"579","Map3k8"
"580","2210010C04Rik"
"581","Mapk13"
"582","Mapk14"
"583","Mapk3"
"584","Nup62"
"585","Mapk8"
"586","Nubp1"
"587","Tas1r2"
"588","Neurl3"
"589","Psma1"
"590","Phactr4"
"591","Psma5"
"592","Psma6"
"593","Psma7"
"594","Psmb2"
"595","Psmb3"
"596","Chmp4b"
"597","Med25"
"598","Nedd4l"
"599","Birc7"
"600","Kdm5a"
"601","Ilkap"
"602","Chtf18"
"603","Klhl13"
"604","Cdk8"
"605","Poc5"
"606","Lin37"
"607","Mir124a-2"
"608","Ncstn"
"609","Syf2"
"610","Nudt16"
"611","Rhbdl1"
"612","Srf"
"613","Ccar1"
"614","Rnf151"
"615","Cul3"
"616","Homer1"
"617","Mmp23"
"618","Cul5"
"619","Chtf8"
"620","Rcbtb1"
"621","Uba6"
"622","Bex2"
"623","Tmprss11d"
"624","Orc1"
"625","Rnf130"
"626","Anapc15"
"627","Ipo4"
"628","Dnaja3"
"629","Phip"
"630","Osm"
"631","Anapc7"
"632","Wdr81"
"633","Ube2e2"
"634","Ovol1"
"635","Vps4a"
"636","Mybbp1a"
"637","Rnf41"
"638","March4"
"639","Klhl24"
"640","Ckap5"
"641","Tpsab1"
"642","Smurf1"
"643","Stk24"
"644","Mmp1a"
"645","Mmp1b"
"646","Nln"
"647","Ube2r2"
"648","Tasp1"
"649","Pafah1b1"
"650","Anp32b"
"651","Spc24"
"652","Senp2"
"653","Hormad2"
"654","Astl"
"655","Pappa"
"656","Zfyve26"
"657","Mir16-1"
"658","Rnf139"
"659","Tmem67"
"660","Ctdp1"
"661","Hip1"
"662","Pax6"
"663","Tmem109"
"664","Rnf125"
"665","Lin54"
"666","Kat2b"
"667","Adam1b"
"668","Adam1a"
"669","Tmod3"
"670","Ranbp3l"
"671","Prss37"
"672","Pcnt"
"673","Prelp"
"674","Pcsk1"
"675","Pcsk2"
"676","Furin"
"677","Pcsk4"
"678","Rhbdd2"
"679","Pcsk6"
"680","Pcsk7"
"681","Usp8"
"682","Atp2b4"
"683","Nsmce1"
"684","Cops5"
"685","Pdcd2"
"686","Pdcd4"
"687","Pdcd6"
"688","Pdcd6ip"
"689","Pop1"
"690","Mir26a-1"
"691","Syce3"
"692","Stat1"
"693","Evi5"
"694","Pgap2"
"695","Gak"
"696","Pdgfb"
"697","Mir124a-1"
"698","Ush1c"
"699","Pdgfrb"
"700","Gins2"
"701","Pdk2"
"702","Gmnc"
"703","Chfr"
"704","P2rx2"
"705","Stat5b"
"706","Per2"
"707","Rassf4"
"708","Pagr1a"
"709","Cdk14"
"710","Il1f9"
